term,coef,pos_count,neg_count,pos_ratio,importance
whitney,-0.9130746566611931,1031.0,1374.0,0.4286902286902287,7.108944434463228
31 2005,-1.917320341590724,,,,
2018 company,-1.7281250292772152,,,,
31 2015,-1.463421414865074,,,,
fiscal 2003,-1.4488053938682468,,,,
2001 2000,-1.4060921829228288,,,,
30 2001,-1.400255921665054,,,,
30 2004,-1.3424206808907377,,,,
fiscal 2019,-1.290369122438929,,,,
fiscal 2006,-1.2871220655005804,,,,
28 2013,-1.252352387439935,,,,
2012 compared,-1.2235277839513452,,,,
national corporation,-1.210634904852511,,,,
group subsidiaries,-1.2068747796837898,,,,
2017 2016,-1.1824504649983774,,,,
martin resource,-1.1558744221935657,,,,
29 2020,-1.145907665227538,,,,
2013 annual,-1.1204411500467926,,,,
shell company,-1.111826673006545,,,,
power systems,-1.0883481518808966,,,,
minnesota power,-1.0695645386863362,,,,
march 2018,-1.0166474659421496,,,,
june 27,-1.0138931842352816,,,,
asc topic,-0.9983442662926779,,,,
quarter 2020,-0.9950263642195593,,,,
technologies notes,-0.991493791292815,,,,
refined products,-0.9824431834119769,,,,
quarter 2009,-0.979761919710927,,,,
31 2002,-0.9732062199494633,,,,
2011 compared,-0.971463554074146,,,,
credit facility,-0.970055168949847,,,,
august 28,-0.9692089762663876,,,,
million year,-0.9438009458379428,,,,
preferred securities,-0.9310913075914528,,,,
2005 annual,-0.9257244732958283,,,,
components segment,-0.9174315966568702,,,,
