term,coef,pos_count,neg_count,pos_ratio,importance
firstbank,1.217973625401642,2269.0,598.0,0.7914196023718172,9.696738927752914
subscribers,0.9727869199921213,11685.0,9525.0,0.5509193776520509,9.691171002103866
pv,1.0749517349614839,4844.0,2640.0,0.6472474612506681,9.589274963298001
1991,0.9407951529130142,14520.0,11666.0,0.5544947681967464,9.570726385600961
mills,0.984353247741232,7566.0,6286.0,0.5462027144094715,9.387045642421848
rcm,1.173434619008155,2058.0,830.0,0.7126038781163435,9.350708200229949
lottery,1.0204808438064887,6294.0,3113.0,0.6690762198362922,9.336701375314773
brown,0.9664305720361269,8630.0,7007.0,0.5518961437615911,9.333263750150039
invesco,1.010089022147325,6378.0,3594.0,0.6395908543922985,9.300532771198528
stevia,1.137907153520626,2976.0,546.0,0.8449744463373083,9.293365303425162
valero,1.0838497201431974,3524.0,1288.0,0.7323358270989194,9.190044008017113
love,1.1436650887246422,1786.0,1196.0,0.5989268947015426,9.150103873939955
noble,1.1279850951659025,2108.0,1204.0,0.6364734299516909,9.143006593030883
incyte,1.1215850551300008,2307.0,1000.0,0.6976111279104928,9.089436386663786
santander,1.0423848749627072,3748.0,1539.0,0.7089086438433895,8.936569195808595
csg,1.056575690308817,3565.0,1052.0,0.7721464154212693,8.915086653249283
utg,1.1045423489609092,2128.0,543.0,0.7967053538000749,8.715482567499455
biogen,0.9534334997509103,5044.0,4116.0,0.5506550218340611,8.697897915562764
anderson,0.9292066687278705,6216.0,4422.0,0.5843203609701072,8.615866058275293
assay,0.930607420060876,6364.0,3465.0,0.6474717672194527,8.555254748809919
vf,1.009571088834813,3602.0,969.0,0.7880113760665063,8.50836834795285
vulcan,1.088667442299463,1554.0,897.0,0.6340269277845777,8.496678474944792
nano,1.0679562599990287,1852.0,658.0,0.7378486055776893,8.360427615766348
hydrogen,0.9395883868725663,4385.0,2814.0,0.6091123767189888,8.34527024628504
mdc,0.9513850052803298,3121.0,1740.0,0.6420489611191113,8.076502491097571
hanover,0.9680298171045832,2542.0,1265.0,0.6677173627528238,7.981269733076978
zhang,0.9622442886914269,2854.0,865.0,0.767410594245765,7.91107116160466
viad,0.9287462462819854,3633.0,1324.0,0.7329029655033287,7.902476786095625
graphite,0.9563834702176612,2758.0,1029.0,0.7282809611829945,7.880210981011868
roadway,0.9702795841951877,2320.0,845.0,0.7330173775671406,7.820671024535025
cypress,0.9493693997820998,2273.0,777.0,0.7452459016393442,7.617004003246391
bak,0.9274755704240504,2728.0,808.0,0.7714932126696833,7.578434595587771
gencaro,0.9520553370250678,2182.0,480.0,0.8196844477836214,7.509059028354091
adtalem,0.9776199995900222,2055.0,23.0,0.9889316650625601,7.468667090323668
twitter,0.9974035846056345,1198.0,424.0,0.7385943279901356,7.372838782957061
boy,0.9375580612183665,379.0,281.0,0.5742424242424242,6.08827126012067
31 1996,2.0954654295954778,,,,
31 1993,1.7095389484624002,,,,
1993 1992,1.6068375836139674,,,,
31 2019,1.5311106660584002,,,,
31 1998,1.3089361662095877,,,,
february 27,1.2500468558703817,,,,
2010 2009,1.2460659692671128,,,,
february 2014,1.2091435929573324,,,,
million 2006,1.1898081751641718,,,,
2019 compared,1.1326316118003488,,,,
2004 2003,1.1288174401965638,,,,
2019 2018,1.1024925158166392,,,,
investment securities,1.0952060574115634,,,,
2018 2017,1.0695753670596313,,,,
development stage,1.0686690979807705,,,,
net loss,1.0480118431264516,,,,
31 2010,1.0235588580941501,,,,
partner companies,1.0211743957758492,,,,
bulletin board,1.0134385151765102,,,,
million 2019,0.9944980500535872,,,,
fiscal 2013,0.9911067371511219,,,,
29 2017,0.9865477890484101,,,,
